City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
309,irymple,-34.25,142.1667,26.87,28,100,3.14,AU,1701895169
310,namdrik,5.5994,168.1028,28.05,81,88,10.74,MH,1701895170
311,kailua-kona,19.6406,-155.9956,29.04,67,0,3.09,US,1701895092
312,ciudad lazaro cardenas,17.9583,-102.2,29.9,57,69,3.23,MX,1701895170
313,marica,-22.9194,-42.8186,33.97,86,18,5.13,BR,1701895170
314,santa elena de uairen,4.6167,-61.1333,24.63,64,90,2.2,VE,1701895170
315,kapsan-up,41.0903,128.2933,-10.1,80,68,1.79,KP,1701895171
316,yerofey pavlovich,53.9667,121.9667,-26.09,90,100,1.37,RU,1701895171
317,karratha,-20.7377,116.8463,29.88,27,6,4.51,AU,1701895171
318,hadibu,12.65,54.0333,24.96,68,100,5.0,YE,1701895171
319,pacific grove,36.6177,-121.9166,18.01,81,40,4.02,US,1701895171
320,chioggia,45.2256,12.2889,3.97,78,14,1.61,IT,1701895172
321,touros,-5.1989,-35.4608,26.63,77,7,6.35,BR,1701895172
322,north battleford,52.7834,-108.2847,6.89,81,100,3.09,CA,1701895017
323,sittwe,20.15,92.9,24.28,86,97,2.61,MM,1701895172
324,constitucion,-35.3333,-72.4167,18.33,66,14,7.12,CL,1701895172
325,anadyr,64.75,177.4833,-20.56,83,100,14.0,RU,1701895172
326,awjilah,29.1081,21.2869,17.42,31,86,2.15,LY,1701895173
327,pinczow,50.5205,20.5265,-0.64,97,100,2.63,PL,1701895173
328,machina,13.1364,10.0492,22.99,13,8,4.53,NG,1701895173
329,alofi,-19.0595,-169.9187,25.94,89,100,4.12,NU,1701895173
330,tsumeb,-19.2333,17.7167,23.86,57,92,3.45,NA,1701895173
331,la ronge,55.1001,-105.2842,4.14,60,75,5.14,CA,1701895173
332,znamenskoye,57.1281,73.8282,-30.35,95,9,2.84,RU,1701895174
333,kidatu,-7.6992,36.9572,23.7,93,96,0.99,TZ,1701895174
334,gisborne,-38.6533,178.0042,19.92,67,5,1.63,NZ,1701895174
335,lhasa,29.65,91.1,-2.59,61,20,0.94,CN,1701895174
336,boende,-0.2167,20.8667,22.26,99,100,1.36,CD,1701895174
337,boke,10.9409,-14.2967,24.55,80,1,1.18,GN,1701895174
338,verkhnevilyuysk,63.4453,120.3167,-46.73,100,71,1.12,RU,1701895174
339,minas de marcona,-15.2119,-75.1103,19.76,58,98,7.77,PE,1701895175
340,narwar,25.65,77.9,18.38,45,92,1.94,IN,1701895175
341,cole harbour,44.6724,-63.4751,-1.69,72,40,4.12,CA,1701895175
342,dubbo,-32.25,148.6167,22.07,56,10,5.66,AU,1701895175
